source_path,short_path,background_label,selected_method,coin_count,border_cv,edge_density,texture_score,contour_merge_score,hough_overlap_pairs,likely_overlap
data/images/gp2/1.jpeg,gp2/1.jpeg,medium,hough,23,0.096921,0.227382,0.261958,0.000000,17,0
data/images/gp2/10.jpeg,gp2/10.jpeg,easy,contours,0,0.073562,0.042581,0.085073,0.000000,96,0
data/images/gp2/11.jpeg,gp2/11.jpeg,easy,contours,1,0.129588,0.116160,0.185872,0.033333,329,0
data/images/gp2/12.jpeg,gp2/12.jpeg,easy,hough+watershed,30,0.030968,0.048161,0.062270,0.000000,106,1
data/images/gp2/13.jpeg,gp2/13.jpeg,easy,contours,0,0.103805,0.133131,0.183962,0.034483,388,0
data/images/gp2/14.jpeg,gp2/14.jpeg,easy,contours,0,0.013462,0.062423,0.063370,0.000000,140,0
data/images/gp2/15.jpeg,gp2/15.jpeg,easy,contours,0,0.071029,0.094226,0.128617,0.000000,364,0
data/images/gp2/2.jpeg,gp2/2.jpeg,medium,hough,7,0.081652,0.332940,0.344396,0.000000,7,0
data/images/gp2/3.jpeg,gp2/3.jpeg,medium,hough,41,0.107423,0.355505,0.380891,0.000000,138,0
data/images/gp2/4.jpeg,gp2/4.jpeg,medium,hough,35,0.175088,0.166005,0.259062,0.000000,46,0
data/images/gp2/5.jpeg,gp2/5.jpeg,easy,hough+watershed,31,0.097476,0.036246,0.095074,0.000000,98,1
data/images/gp2/6.jpeg,gp2/6.jpeg,easy,contours,0,0.222540,0.065888,0.202303,0.000000,210,0
data/images/gp2/7.jpeg,gp2/7.jpeg,easy,contours,0,0.105705,0.056389,0.118048,0.000000,231,0
data/images/gp2/8.jpeg,gp2/8.jpeg,easy,hough+watershed,14,0.199501,0.018663,0.146005,0.500000,28,1
data/images/gp2/9.jpeg,gp2/9.jpeg,easy,contours,0,0.170879,0.037313,0.143720,0.000000,129,0
